term,translation,phonetic,definition,examples,tags,case_sensitive
WeChat,微信,,Tencent messaging and social platform,WeChat is widely used in China.,software,false
WeChat Pay,微信支付,,Mobile payment service inside WeChat,WeChat Pay supports QR-code payments.,software,false
arXiv,arXiv 预印本平台,,Open-access repository for scholarly preprints,The paper first appeared on arXiv.,academic,false
PubMed,PubMed 医学文献数据库,,Search engine for biomedical literature,We searched PubMed for randomized trials.,academic,false
DOI,数字对象唯一标识符,,Digital Object Identifier for a publication,The DOI links to the article record.,academic,false
PMID,PubMed 编号,,Identifier assigned to a PubMed record,The PMID uniquely identifies the abstract.,academic,false
ORCID,ORCID 研究者身份标识,,Persistent identifier for researchers,The author provided an ORCID iD.,academic,false
et al.,等人,,Abbreviation meaning and others,Smith et al. reported similar results.,academic,false
in vitro,体外的；试管内的,,Performed outside a living organism,The assay was performed in vitro.,academic,false
in vivo,体内的；活体内的,,Performed inside a living organism,The effect was validated in vivo.,academic,false
p-value,P 值,,Probability measure used in statistical hypothesis testing,A p-value below 0.05 was considered significant.,statistics,false
confidence interval,置信区间,,Range of values likely to contain an estimated parameter,The confidence interval was narrow.,statistics,false
effect size,效应量,,Quantitative measure of the magnitude of an effect,The study reported a small effect size.,statistics,false
statistical significance,统计显著性,,Likelihood that an observed result is not due to chance,The result reached statistical significance.,statistics,false
randomized controlled trial,随机对照试验,,Study design that randomly assigns participants to groups,The randomized controlled trial tested the intervention.,academic,false
systematic review,系统综述,,Structured review of evidence using predefined methods,The systematic review included 42 studies.,academic,false
meta-analysis,荟萃分析,,Statistical synthesis of results from multiple studies,The meta-analysis found a modest benefit.,academic,false
cohort study,队列研究,,Observational study following a group over time,The cohort study tracked patients for five years.,academic,false
cross-sectional study,横断面研究,,Study observing variables at one point in time,The cross-sectional study measured prevalence.,academic,false
case-control study,病例对照研究,,Study comparing individuals with and without an outcome,The case-control study examined risk factors.,academic,false
large language model,大语言模型,,Machine-learning model trained on large text corpora,Large language models can generate fluent text.,ai,false
LLM,大语言模型,,Abbreviation for large language model,The LLM was evaluated on reasoning tasks.,ai,false
Transformer,Transformer 模型,,Neural network architecture based on attention,The Transformer architecture improved sequence modeling.,ai,false
attention mechanism,注意力机制,,Neural network mechanism that weights relevant information,The attention mechanism highlights important tokens.,ai,false
self-attention,自注意力,,Attention mechanism within the same sequence,Self-attention connects tokens in a sentence.,ai,false
embedding,嵌入表示,,Vector representation of data such as words or documents,The embedding captures semantic similarity.,ai,false
fine-tuning,微调,,Adapting a pretrained model to a specific task,Fine-tuning improved domain performance.,ai,false
prompt engineering,提示词工程,,Designing prompts to guide model behavior,Prompt engineering changed the model output.,ai,false
retrieval-augmented generation,检索增强生成,,Generation method that retrieves external knowledge first,Retrieval-augmented generation reduces hallucination.,ai,false
RAG,检索增强生成,,Abbreviation for retrieval-augmented generation,RAG adds retrieved passages to the prompt.,ai,false
backpropagation,反向传播,,Algorithm for computing gradients in neural networks,Backpropagation updates the model parameters.,ai,false
gradient descent,梯度下降,,Optimization algorithm that follows negative gradients,Gradient descent minimized the loss function.,ai,false
overfitting,过拟合,,Model performs well on training data but poorly on new data,Regularization helps reduce overfitting.,ai,false
underfitting,欠拟合,,Model is too simple to capture the underlying pattern,The shallow model suffered from underfitting.,ai,false
neural network,神经网络,,Computational model composed of connected layers,The neural network classified the image.,ai,false
convolutional neural network,卷积神经网络,,Neural network often used for images,The convolutional neural network extracted visual features.,ai,false
CNN,卷积神经网络,,Abbreviation for convolutional neural network,A CNN was used for image classification.,ai,false
